C#1 I1-IF
C#205 I56-ID
C#206 I56-EX
C#207 I57-IF
C#208 I57-ID
C#209 I57-EX
C#210 I57-MEM
C#211 I58-IF
C#212 I58-ID
C#213 I58-EX
C#214 I58-WB
C#215 I59-IF
C#216 I59-ID
C#217 I59-EX
C#218 I60-IF
C#219 I60-ID
C#220 I60-EX
C#221 I60-MEM
C#222 I61-IF
C#223 I61-ID
C#224 I61-EX
C#225 I61-WB
C#226 I62-IF
C#227 I62-ID
C#228 I62-EX
C#229 I63-IF
C#230 I63-ID
C#231 I63-EX
C#232 I63-MEM
C#233 I64-IF
C#234 I64-ID
C#235 I64-EX
C#236 I64-WB
C#237 I65-IF
C#238 I65-ID
C#239 I65-EX
C#240 I66-IF
C#241 I66-ID
C#242 I66-EX
C#243 I66-MEM
C#244 I67-IF
C#245 I67-ID
C#246 I67-EX
C#247 I67-WB
C#248 I68-IF
C#249 I68-ID
C#250 I68-EX
C#251 I69-IF
C#252 I69-ID
C#253 I69-EX
C#254 I69-MEM
C#255 I70-IF
C#256 I70-ID
C#257 I70-EX
C#258 I70-WB
C#259 I71-IF
C#260 I71-ID
C#261 I71-EX
C#262 I72-IF
C#263 I72-ID
C#264 I72-EX
C#265 I72-MEM
C#266 I73-IF
C#267 I73-ID
C#268 I73-EX
C#269 I73-WB
C#270 I74-IF
C#271 I74-ID
C#272 I74-EX
C#273 I75-IF
C#274 I75-ID
C#275 I75-EX
C#276 I75-MEM
C#277 I76-IF
C#278 I76-ID
C#279 I76-EX
C#280 I76-WB
C#281 I77-IF
C#282 I77-ID
C#283 I77-EX
C#284 I78-IF
C#285 I78-ID
C#286 I78-EX
C#287 I78-MEM
C#288 I79-IF
C#289 I79-ID
C#290 I79-EX
C#291 I79-WB
C#292 I80-IF
C#293 I80-ID
C#294 I80-EX
C#295 I81-IF
C#296 I81-ID
C#297 I81-EX
C#298 I81-MEM
C#299 I82-IF
C#300 I82-ID
C#301 I82-EX
C#302 I82-WB
C#303 I83-IF
C#304 I83-ID
C#305 I83-EX
C#306 I84-IF
C#307 I84-ID
C#308 I84-EX
C#309 I84-MEM
C#310 I85-IF
C#311 I85-ID
C#312 I85-EX
C#313 I85-WB
C#314 I86-IF
C#315 I86-ID
C#316 I86-EX
C#317 I87-IF
C#318 I87-ID
C#319 I87-EX
C#320 I87-MEM
C#321 I88-IF
C#322 I88-ID
C#323 I88-EX
C#324 I88-WB
C#325 I89-IF
C#326 I89-ID
C#327 I89-EX
C#328 I90-IF
C#329 I90-ID
C#330 I90-EX
C#331 I90-MEM
C#332 I91-IF
C#333 I91-ID
C#334 I91-EX
C#335 I91-WB
C#336 I92-IF
C#337 I92-ID
C#338 I92-EX
C#339 I93-IF
C#340 I93-ID
C#341 I93-EX
C#342 I93-MEM
C#343 I94-IF
C#344 I94-ID
C#345 I94-EX
C#346 I94-WB
C#347 I95-IF
C#348 I95-ID
C#349 I95-EX
C#350 I96-IF
C#351 I96-ID
C#352 I96-EX
C#353 I96-MEM
C#354 I97-IF
C#355 I97-ID
C#356 I97-EX
C#357 I97-WB
C#358 I98-IF
C#359 I98-ID
C#360 I98-EX
C#361 I99-IF
C#362 I99-ID
C#363 I99-EX
C#364 I99-MEM
C#365 I100-IF
C#366 I100-ID
C#367 I100-EX
C#368 I100-WB
C#369 I101-IF
C#370 I101-ID
C#371 I101-EX
C#372 I102-IF
C#373 I102-ID
C#374 I102-EX
C#375 I102-MEM
C#376 I103-IF
C#377 I103-ID
C#378 I103-EX
C#379 I103-WB
C#380 I104-IF
C#381 I104-ID
C#382 I104-EX
REGISTERS
R1 35
R2 35
MEMORY
1 1
2 2
3 3
4 4
5 5
6 6
7 7
8 8
9 9
10 10
11 11
12 12
13 13
14 14
15 15
16 16
17 17
18 18
19 19
20 20
21 21
22 22
23 23
24 24
25 25
26 26
27 27
28 28
29 29
30 30
31 31
32 32
33 33
34 34
